Y;Fieldvalue
-----------;-----------
-1.2500E+01;6.5703E+00
-1.2499E+01;6.5717E+00
-1.2498E+01;6.5731E+00
-1.2497E+01;6.5744E+00
-1.2496E+01;6.5758E+00
-1.2495E+01;6.5772E+00
-1.2494E+01;6.5786E+00
-1.2493E+01;6.5800E+00
-1.2492E+01;6.5813E+00
-1.2491E+01;6.5827E+00
-1.2490E+01;6.5841E+00
-1.2489E+01;6.5855E+00
-1.2488E+01;6.5869E+00
-1.2487E+01;6.5883E+00
-1.2486E+01;6.5896E+00
-1.2485E+01;6.5910E+00
-1.2484E+01;6.5924E+00
-1.2483E+01;6.5938E+00
-1.2482E+01;6.5952E+00
-1.2481E+01;6.5965E+00
-1.2480E+01;6.5979E+00
-1.2479E+01;6.5993E+00
-1.2478E+01;6.6007E+00
-1.2477E+01;6.6021E+00
-1.2476E+01;6.6034E+00
-1.2475E+01;6.6048E+00
-1.2474E+01;6.6062E+00
-1.2473E+01;6.6076E+00
-1.2472E+01;6.6090E+00
-1.2471E+01;6.6104E+00
-1.2470E+01;6.6117E+00
-1.2469E+01;6.6131E+00
-1.2468E+01;6.6145E+00
-1.2467E+01;6.6159E+00
-1.2466E+01;6.6173E+00
-1.2465E+01;6.6186E+00
-1.2464E+01;6.6200E+00
-1.2463E+01;6.6214E+00
-1.2462E+01;6.6228E+00
-1.2461E+01;6.6242E+00
-1.2460E+01;6.6256E+00
-1.2459E+01;6.6269E+00
-1.2458E+01;6.6283E+00
-1.2457E+01;6.6297E+00
-1.2456E+01;6.6311E+00
-1.2455E+01;6.6325E+00
-1.2454E+01;6.6338E+00
-1.2453E+01;6.6352E+00
-1.2452E+01;6.6366E+00
-1.2451E+01;6.6380E+00
-1.2450E+01;6.6394E+00
-1.2449E+01;6.6407E+00
-1.2448E+01;6.6421E+00
-1.2447E+01;6.6435E+00
-1.2446E+01;6.6449E+00
-1.2445E+01;6.6463E+00
-1.2444E+01;6.6477E+00
-1.2443E+01;6.6490E+00
-1.2442E+01;6.6504E+00
-1.2441E+01;6.6518E+00
-1.2440E+01;6.6532E+00
-1.2439E+01;6.6546E+00
-1.2438E+01;6.6559E+00
-1.2437E+01;6.6573E+00
-1.2436E+01;6.6587E+00
-1.2435E+01;6.6601E+00
-1.2434E+01;6.6615E+00
-1.2433E+01;6.6628E+00
-1.2432E+01;6.6642E+00
-1.2431E+01;6.6656E+00
-1.2430E+01;6.6670E+00
-1.2429E+01;6.6684E+00
-1.2428E+01;6.6698E+00
-1.2427E+01;6.6711E+00
-1.2426E+01;6.6725E+00
-1.2425E+01;6.6739E+00
-1.2424E+01;6.6753E+00
-1.2423E+01;6.6767E+00
-1.2422E+01;6.6780E+00
